uniprot_accession,gene_name
A0A2H4PWH9,HOOK1
A0A2H4QWJ3,CYP2C9
A0A2H4QWR6,CYP2C9
A0A2H4QWR7,CYP2C9
A0A2H4QWU9,CYP2C9
A0A2H4R0R4,SERPINC1
A0A2H4V0S1,HLA-B
A0A2H4V0T1,HLA-DRB4
A0A2H4V0T7,HLA-C
A0A2H4Z8F3,FCGR3A
A0A2I2JL10,KIR2DL1
A0A2I2JL20,KIR2DL1
A0A2I2MP52,KLK6
A0A2I2MP56,KLK9
A0A2I2MP58,KLK9
A0A2I2MP60,KLK9
A0A2I4PYZ2,HLA-A
A0A2I4PZ00,HLA-A
A0A2I4PZ06,HLA-A
A0A2I4PZ09,HLA-A
A0A2I4PZ10,HLA-A
A0A2I4PZ11,HLA-A
A0A2I4PZ16,HLA-A
A0A2I4PZ17,HLA-A
A0A2I4PZ64,HLA-A
A0A2I4PZ66,HLA-A
A0A2I4PZ72,HLA-A
A0A2I4PZ78,HLA-B
A0A2I4PZ88,HLA-B
A0A2I4PZ90,HLA-B
A0A2I4PZ91,HLA-B
A0A2I4PZ93,HLA-B
A0A2I4PZ95,HLA-B
A0A2I4PZA2,HLA-B
A0A2I4PZA8,HLA-B
A0A2I4PZB2,HLA-B
A0A2I4PZB7,HLA-B
A0A2I4PZC4,HLA-B
A0A2I4PZF3,HLA-B
A0A2I4PZG5,HLA-B
A0A2I4PZH0,HLA-C
A0A2I4PZH2,HLA-C
A0A2I4PZH5,HLA-C
A0A2I4PZH6,HLA-C
A0A2I4PZI2,HLA-C
A0A2I4PZI3,HLA-C
A0A2I4PZJ2,HLA-C
A0A2I4PZJ4,HLA-C
A0A2I4PZJ6,HLA-C
A0A2I4PZK5,HLA-C
A0A2I4PZL7,HLA-C
A0A2I4PZM9,HLA-DQB1
A0A2I4PZN7,HLA-DQB1
A0A2I4PZN9,HLA-DQB1
A0A2I4PZP0,HLA-DQB1
A0A2I4PZP8,HLA-DQB1
A0A2I4PZP9,HLA-DQB1
A0A2I4PZQ1,HLA-DQB1
A0A2I4PZQ5,HLA-DQB1
A0A2I4PZR0,HLA-DQB1
A0A2I4PZR1,HLA-DRB1
A0A2I4PZS3,HLA-DRB1
A0A2I4PZS9,HLA-DRB1
A0A2I4PZT4,HLA-DRB1
A0A2I4PZT6,HLA-DRB1
A0A2I4PZT8,HLA-DQB1
A0A2I4PZT9,HLA-A
A0A2I4PZU3,HLA-DRB1
A0A2I4PZU6,HLA-B
A0A2I4PZV3,HLA-DRB1
A0A2I4PZV7,HLA-DRB1
A0A2I4PZV9,HLA-DRB1
A0A2I4PZW6,HLA-DRB1
A0A2I4PZX2,HLA-DRB1
A0A2I4PZY2,HLA-DRB3
A0A2I4PZY5,HLA-B
A0A2I4Q005,HLA-DPB1
A0A2I4Q019,HLA-B
A0A2I4Q022,HLA-DPB1
A0A2I4Q027,HLA-B
A0A2I4Q039,HLA-C
A0A2I4Q042,HLA-C
A0A2I4Q061,HLA-C
A0A2I4Q086,HLA-DQB1
A0A2I4Q0B7,HLA-DRB1
A0A2I4Q0B8,HLA-DRB1
A0A2I4Q0B9,HLA-DRB1
A0A2I4Q0C2,HLA-DRB1
A0A2I4Q0J1,HLA-DPB1
A0A2I7FRL6,HLA-DQB1
A0A2I7N9Z4,SRSF2
A0A2I7ZG50,KLK12
A0A2K4N7U2,HLA-DPB1
A0A2K4N835,HLA-DPB1
A0A2K4N866,HLA-B
A0A2K4ZA06,PIGA
A0A2K8FVF1,HLA-DPB1
A0A2K8FVG0,HLA-C
A0A2K9UV38,RI-PRLR
A0A2K9YW35,RHD
A0A2L0RIN3,HLA-DRB1
A0A2L0RIP2,HLA-DPB1
A0A2L0VY97,HLA-C
A0A2L0VYB1,HLA-A
A0A2L1K0I9,CYP2D6
A0A2L2FPF8,HLA-DPB1
A0A2N9DMH4,HLA-B
A0A2P0H7U5,HELZ
A0A2P1AN69,DQB1
A0A2P1CQ60,HLA-B
A0A2P1CQD5,HLA
A0A2P1CYP9,HLA-B
A0A2P1EPV6,RHD
A0A2P1H0K5,SCN1A
A0A2P1H0S1,SCN1A
A0A2P1M8M7,ABO
A0A2P1M905,CPSF6
A0A2P1NR63,HLA-B
A0A2R3U9X1,HLA-C
A0A2R4FYJ5,KIR2DS5
A0A2R4FYL6,KIR3DL3
A0A2R4FYL9,KIR3DL3
A0A2R4FYM1,KIR3DL3
A0A2R4KZU6,HLA-A
A0A2R4LVM6,HLA-B
A0A2R4P7Q4,TLR7
A0A2R4P8E0,TLR9
A0A2R4SE35,PTEN
A0A2R4U2D7,BRCA1
A0A2R7Z5L0,HLA-DRB1
A0A2R8A5N5,KIR2DL1
A0A2R8Y244,ST3GAL3
A0A2R8Y2X6,BICDL2
A0A2R8Y3S1,TBCE
A0A2R8Y3S6,SNX27
A0A2R8Y3W6,CSNK2A1
A0A2R8Y414,RPGR
A0A2R8Y416,SGCE
A0A2R8Y424,PRRC2C
A0A2R8Y434,TMC1
A0A2R8Y466,PABIR3
A0A2R8Y475,ABCC8
A0A2R8Y478,CD9
A0A2R8Y4A7,GBGT1
A0A2R8Y4D9,OR2I1P
A0A2R8Y4E3,SGCE
A0A2R8Y4J3,AP3D1
A0A2R8Y4K8,SAMSN1
A0A2R8Y4L3,CCDC82
A0A2R8Y4L5,FKTN
A0A2R8Y4N2,RIPOR2
A0A2R8Y4Q3,OPA1
A0A2R8Y4S6,CHAMP1
A0A2R8Y4U7,MANBA
A0A2R8Y4V9,GSS
A0A2R8Y4W2,EPS8
A0A2R8Y4W7,SLC26A4
A0A2R8Y4X4,CCDC88A
A0A2R8Y503,FSIP1
A0A2R8Y509,ESRRB
A0A2R8Y514,OPA1
A0A2R8Y516,AUTS2
A0A2R8Y517,SERPINB6
A0A2R8Y530,SPG7
A0A2R8Y535,ATP2B2
A0A2R8Y560,RFX8
A0A2R8Y573,SH2D1A
A0A2R8Y575,PLEKHM2
A0A2R8Y583,SMARCA4
A0A2R8Y594,NMNAT3
A0A2R8Y5A2,C11orf80
A0A2R8Y5B1,PTPRC
A0A2R8Y5B6,OR10H4
A0A2R8Y5E9,DEPDC5
A0A2R8Y5G0,CERT1
A0A2R8Y5L4,SGCE
A0A2R8Y5N4,COL11A1
A0A2R8Y5P9,SHROOM3
A0A2R8Y5Q9,LRTOMT
A0A2R8Y5T2,SNTG1
A0A2R8Y5T6,GJB6
A0A2R8Y5U2,SLC29A3
A0A2R8Y5U9,PABIR3
A0A2R8Y5Y6,FRRS1L
A0A2R8Y5Y8,SERPINB6
A0A2R8Y621,SGCE
A0A2R8Y622,CNKSR2
A0A2R8Y650,DDX3X
A0A2R8Y656,LZTR1
A0A2R8Y663,CDH23
A0A2R8Y674,HSD17B4
A0A2R8Y682,ST3GAL3
A0A2R8Y694,SLC19A3
A0A2R8Y6B6,GPX1
A0A2R8Y6C7,GPI
A0A2R8Y6E3,GPSM2
A0A2R8Y6E5,COL4A3
A0A2R8Y6F7,NLGN4X
A0A2R8Y6G8,SGCE
A0A2R8Y6I4,SGCE
A0A2R8Y6I8,ENO1
A0A2R8Y6K5,ST3GAL3
A0A2R8Y6N2,GJB6
A0A2R8Y6P2,EFCAB10
A0A2R8Y6Q1,TBCE
A0A2R8Y6R9,TECTB
A0A2R8Y6S4,SGCE
A0A2R8Y6T2,SYNGAP1
A0A2R8Y6T5,TSC1
A0A2R8Y6T9,TPP1
A0A2R8Y6V4,DEPDC5
A0A2R8Y6W1,TSC1
A0A2R8Y6Y0,CNGB1
A0A2R8Y6Y9,BRCA1
A0A2R8Y700,CNKSR2
A0A2R8Y703,OSBPL2
A0A2R8Y709,TSHR
A0A2R8Y720,TBCE
A0A2R8Y734,THPO
A0A2R8Y743,RB1
A0A2R8Y770,DDX3X
A0A2R8Y7B0,BCL11A
A0A2R8Y7E3,FKTN
A0A2R8Y7E9,TSC1
A0A2R8Y7F5,CIITA
A0A2R8Y7G0,SCN9A
A0A2R8Y7G8,KRBA2
A0A2R8Y7H5,RTEL1
A0A2R8Y7I0,CHD4
A0A2R8Y7I4,TPP1
A0A2R8Y7I5,REXO1
A0A2R8Y7I7,GSS
A0A2R8Y7J6,CDIN1
A0A2R8Y7J7,F8
A0A2R8Y7L2,HSD17B4
A0A2R8Y7L7,ESPN
A0A2R8Y7P4,TLR4
A0A2R8Y7R5,SAMHD1
A0A2R8Y7S4,PABIR3
A0A2R8Y7S8,MSH2
A0A2R8Y7T1,CSNK2A1
A0A2R8Y7U0,DEPDC5
A0A2R8Y7X1,CHD4
A0A2R8Y7X6,CASK
A0A2R8Y7Y0,CDK13
A0A2R8Y7Y9,BLVRB
A0A2R8Y7Z2,ST3GAL3
A0A2R8Y806,CCL20
A0A2R8Y808,CHD8
A0A2R8Y812,UBE2T
A0A2R8Y814,PMS2
A0A2R8Y821,SGCE
A0A2R8Y838,RPGR
A0A2R8Y842,DEPDC5
A0A2R8Y846,CCDC88A
A0A2R8Y853,SPAG11A
A0A2R8Y854,SLC29A1
A0A2R8Y885,CCDC88A
A0A2R8Y8A2,RGS6
A0A2R8Y8C0,SPACA6
A0A2R8YCL0,SERAC1
A0A2R8YCL6,ADNP
A0A2R8YCX9,SCN9A
A0A2R8YCY8,AP3D1
A0A2R8YCZ4,CRYL1
A0A2R8YD18,C3orf49
A0A2R8YD19,SERAC1
A0A2R8YD22,AQP3
A0A2R8YD56,RTEL1
A0A2R8YD60,ATP7A
A0A2R8YD74,TSC1
A0A2R8YD95,VPS45
A0A2R8YD99,CCDC88A
A0A2R8YDA8,TIMM8A
A0A2R8YDB0,ST3GAL3
A0A2R8YDB2,CDIN1
A0A2R8YDD3,WASHC1
A0A2R8YDE9,ABCC8
A0A2R8YDG4,CLEC16A
A0A2R8YDJ2,TMC1
A0A2R8YDM1,HADHA
A0A2R8YDM8,SPG7
A0A2R8YDR7,GATD3
A0A2R8YDS2,SYNGAP1
A0A2R8YDT7,NLGN4Y
A0A2R8YDT8,HSD17B4
A0A2R8YDU3,COL11A1
A0A2R8YDU7,OSBPL2
A0A2R8YDW8,SPG7
A0A2R8YDY3,CD55
A0A2R8YE23,DSE
A0A2R8YE27,CNKSR2
A0A2R8YE63,EPS8
A0A2R8YE64,TPP1
A0A2R8YE85,SLC25A38
A0A2R8YE92,SMCHD1
A0A2R8YE99,SGCE
A0A2R8YEB4,RNASEH2B
A0A2R8YEF7,SNTG1
A0A2R8YEF8,DIAPH1
A0A2R8YEG5,ENO1
A0A2R8YEJ5,LRGUK
A0A2R8YEJ7,CASK
A0A2R8YEM9,TRANK1
A0A2R8YET2,PRRC2C
A0A2R8YEW7,CDIN1
A0A2R8YEX0,OSBPL2
A0A2R8YEX8,VPS45
A0A2R8YEZ3,ERCC8
A0A2R8YF30,SEC23B
A0A2R8YF39,HSD17B4
A0A2R8YF43,CSNK2A1
A0A2R8YF45,HSD17B4
A0A2R8YF63,ANAPC1
A0A2R8YF65,DPP9
A0A2R8YF77,RIPOR2
A0A2R8YF85,TWNK
A0A2R8YF88,OCRL
A0A2R8YFA0,ST3GAL3
A0A2R8YFA4,CYP2B6
A0A2R8YFB3,ABCC8
A0A2R8YFI9,CHD8
A0A2R8YFK6,TSPEAR
A0A2R8YFL0,CTCF
A0A2R8YFL4,TBCE
A0A2R8YFM9,CFAP92
A0A2R8YFN1,PDZD7
A0A2R8YFP1,TRIM8
A0A2R8YFQ0,SATL1
A0A2R8YFT7,COL9A2
A0A2R8YFU1,CCNJL
A0A2R8YFX9,CACNB2
A0A2R8YG27,ABHD5
A0A2R8YG37,ZNF385D
A0A2R8YGE6,TSC2
A0A2R8YGI6,TCP11X2
A0A2R8YGV1,ATXN2
A0A2R8YGW2,CLIC5
A0A2R8YGX3,TPM4
A0A2R8YGY6,RPGR
A0A2R8YH74,PRKG1
A0A2S0SYU3,HLA-DRB1
A0A2S0SYV5,HLA-DRB1
A0A2S1GUW1,CR1
A0A2S1IZV6,HLA-C
A0A2S1TLZ5,HLA-B
A0A2S1TLZ7,HLA-B
A0A2S1ZAM4,HLA-C
A0A2U3TZH9,ST3GAL3
A0A2U3TZJ1,RMND1
A0A2U3TZM4,CASK
A0A2U3TZM8,LOC112694756
A0A2U3U020,XG
A0A2U7MW68,HLA-DQB1
A0A2U7MW69,HLA-DQB1
A0A2U7MW86,HLA-DPB1
A0A2U7MW95,HLA-DPB1
A0A2U7MWA2,HLA-DPB1
A0A2U7MWA9,HLA-DPB1
A0A2U7MWB9,HLA-DPB1
A0A2U7MWE2,HLA-A
A0A2U7MWG5,HLA-B
A0A2U7MWI3,HLA-C
A0A2U7MWJ4,HLA-C
A0A2U7MWL5,HLA-DRB3
A0A2U7MWL6,HLA-C
A0A2U7MWP7,HLA-DRB4
A0A2U7MWQ4,HLA-DRB5
A0A2U7MWR8,HLA-DPA1
A0A2U7MZC0,HLA-DQB1
A0A2U7MZF0,HLA-DPB1
A0A2U7MZF5,HLA-DPB1
A0A2U7MZG2,HLA-A
A0A2U7MZK9,HLA-B
A0A2U7MZN7,HLA-C
A0A2U7MZS7,HLA-DRB4
A0A2U7MZU1,HLA-DRB4
A0A2U7N349,HLA-DQB1
A0A2U7N3B1,HLA-A
A0A2U7N3C7,HLA-B
A0A2U7N3E2,HLA-C
A0A2U7N3H0,HLA-DRB3
A0A2U7N6G9,HLA-DRB1
A0A2U7N6H5,HLA-DQB1
A0A2U7N6I0,HLA-DQB1
A0A2U7N6R5,HLA-C
A0A2U7N6S0,HLA-C
A0A2U7N6S5,HLA-C
A0A2U7N6U7,HLA-DRB3
A0A2U7N6W0,HLA-DRB4
A0A2U7N6X6,HLA-DQA1
A0A2U7N6Y1,HLA-DPA1
A0A2U7N9H3,HLA-DQB1
A0A2U7N9J6,HLA-DPB1
A0A2U7N9P4,HLA-B
A0A2U7N9S3,HLA-C
A0A2U7N9S8,HLA-C
A0A2U7N9V4,HLA-DRB4
A0A2U7NDZ9,HLA-DQB1
A0A2U7NEE0,HLA-DRB3
A0A2U7NEF2,HLA-DRB4
A0A2U7NEF8,HLA-DRB4
A0A2U7NGL0,HLA-DQB1
A0A2U7NGP5,HLA-DPB1
A0A2U7NGS2,HLA-A
A0A2U7NGU6,HLA-B
A0A2U7NGY5,HLA-C
A0A2U7NH03,HLA-DRB4
A0A2U7NH39,HLA-DPA1
A0A2U7NI16,HLA-DPB1
A0A2U7NI25,HLA-DPB1
A0A2U7NI90,HLA-C
A0A2U7NIA4,HLA-DRB3
A0A2U7NIC9,HLA-DRB4
A0A2U7NIE0,HLA-DRB5
A0A2U7NMT3,HLA-DPB1
A0A2U7NMY0,HLA-A
A0A2U7NMY6,HLA-B
A0A2U7NN11,HLA-C
A0A2U7NN41,HLA-DRB3
A0A2U8BR36,SCAF1
A0A2U8BR44,SCAF1
A0A2U8BR45,SCAF1
A0A2U8J8B6,IgH
A0A2U8J8D8,IgH
A0A2U8J8D9,IgH
A0A2U8J8G6,IgH
A0A2U8J8H0,IgH
A0A2U8J8H8,IgH
A0A2U8J8I2,IgH
A0A2U8J8I9,IgH
A0A2U8J8J3,IgH
A0A2U8J8K6,IgH
A0A2U8J8L5,IgH
A0A2U8J8L8,IgH
A0A2U8J8M9,IgH
A0A2U8J8N8,IgH
A0A2U8J8P9,IgH
A0A2U8J8Q0,IgH
A0A2U8J8Q2,IgH
A0A2U8J8Q6,IgH
A0A2U8J8Q9,IgH
A0A2U8J8R2,IgH
A0A2U8J8R6,IgH
A0A2U8J8S0,IgH
A0A2U8J8T3,IgH
A0A2U8J8T8,IgH
A0A2U8J8U1,IgH
A0A2U8J8U9,IgH
A0A2U8J8V8,IgH
A0A2U8J8W4,IgH
A0A2U8J8W9,IgH
A0A2U8J8X5,IgH
A0A2U8J8X8,IgH
A0A2U8J8X9,IgH
A0A2U8J8Y0,IgH
A0A2U8J8Y1,IgH
A0A2U8J8Z0,IgH
A0A2U8J8Z2,IgH
A0A2U8J8Z3,IgH
A0A2U8J8Z8,IgH
A0A2U8J905,IgH
A0A2U8J907,IgH
A0A2U8J918,IgH
A0A2U8J919,IgH
A0A2U8J922,IgH
A0A2U8J925,IgH
A0A2U8J929,IgH
A0A2U8J930,IgH
A0A2U8J931,IgH
A0A2U8J932,IgH
A0A2U8J933,IgH
A0A2U8J936,IgH
A0A2U8J938,IgH
A0A2U8J940,IgH
A0A2U8J974,IgH
A0A2U8J989,IgH
A0A2U8J991,IgH
A0A2U8J999,IgH
A0A2U8J9A1,IgH
A0A2U8J9A4,IgH
A0A2U8J9A8,IgH
A0A2U8J9B4,IgH
A0A2U8J9C5,IgH
A0A2U8J9C7,IgH
A0A2U8J9D0,IgH
A0A2U8J9D3,IgH
A0A2U8J9E0,IgH
A0A2U8LMN2,HLA-A
A0A2U8RN74,SCN1A
A0A2U8RNK7,HLA-C
A0A2U8RNL1,DPB1
A0A2U9AEN7,HLA-C
A0A2X0SFC2,ARHGEF39
A0A2X0SFD0,ARHGAP32
A0A2X0SFH4,PLEKHG3
A0A2X0SFL9,SYDE1
A0A2X0SFT2,ARHGAP11B
A0A2X0SFW5,PLEKHG4B
A0A2X0SSH0,ARHGEF6
A0A2X0SYX6,DLC1
A0A2X0SYZ7,FGD2
A0A2X0TVR3,ARHGAP12
A0A2X0U2C5,ARHGAP20
A0A2X0U2E5,ARHGAP45
A0A2X0U2J9,FGD4
A0A2X0U2L0,MCF2L2
A0A2X0U4J5,ARHGAP29
A0A2X0U4Q9,FGD3
A0A2X0U4U8,SRGAP3
A0A2Y9CYD5,IgH
A0A2Y9CYD8,IgH
A0A2Y9CYE1,IgH
A0A2Y9CYE9,IgH
A0A2Y9CYF2,IgH
A0A2Y9CYF3,IgH
A0A2Y9D021,LLCFC1
A0A2Y9D085,RNF227
A0A2Z1C250,BMP15
A0A2Z1C4N0,BMP15
A0A2Z3J2W5,TSC2
A0A2Z4HTY3,HLA-B
A0A2Z4HTY8,DQB1
A0A2Z4LG72,HLA-C
A0A2Z4T009,Atox1
A0A2Z5ENY1,ATP7B
A0A2Z5XAE7,HLA-C
A0A2Z6DSZ2,Pact
A0A2Z6ICQ8,HLA-B
A0A2Z6ICR0,HLA-C
A0A2Z6ICS3,HLA-C
A0A2Z6ICX0,HLA-C
A0A2Z6IDA3,HLA-C
A0A2Z6IEZ1,HLA-A
A0A330IXA5,KIR2DL5B
A0A330PLB4,RHD
A0A343GM27,ND6
A0A343GR14,ND3
A0A343GRN6,ND4L
A0A343HGX6,ND3
A0A343J4V7,HLA-A
A0A343J4V8,HLA-A
A0A343KKE3,ND6
A0A343R0H7,ND4L
A0A343R0P6,ND6
A0A343R0P8,ND4L
A0A345ALM0,ATP8
A0A345ALM5,ND6
A0A345BDY9,HLA-B
A0A345F0V9,HLA-DQB1
A0A345F7A5,HLA-A
A0A345F7A7,HLA-A
A0A345FZQ9,CYP2C9
A0A345Z977,NLRP3
A0A346A6F2,ANO5
A0A346DBY2,APOE
A0A346FYQ1,NGF
A0A346QUR4,HLA-DQB1
A0A346RD63,CR1
A0A346RDD8,GYPA
A0A346RDP8,GYPC
A0A346RDY7,GYPA
A0A346RE16,GYPA
A0A346RF28,GYPB
A0A346RV52,RHCE
A0A346XLN9,TP53
A0A346XLP2,TP53
A0A346XLS7,TP53
A0A346XLT1,TP53
A0A346XLT4,TP53
A0A346XLU1,TP53
A0A346XLW0,TP53
A0A346XLW4,TP53
A0A346XLW8,TP53
A0A346XLX0,TP53
A0A346XM05,TP53
A0A346XM34,TP53
A0A346XM40,TP53
A0A346XM43,TP53
A0A348AXW9,HLA-B
A0A348GSI1,IFI6
A0A348GSI6,GBP1
A0A348HAQ6,HLA-B
A0A348HAV3,HLA-B
A0A375JDX3,HLA-C
A0A376A8L2,KIR2DL4
A0A376A8S6,KIR3DL1
A0A376A8S7,KIR2DL4
A0A376A8S8,KIR2DL3
A0A376A8U5,KIR2DL1
A0A376A919,KIR2DS4
A0A376A945,KIR2DL2
A0A376A986,KIR2DS1
A0A376A9Q8,KIR2DS4
A0A376A9T1,KIR2DL4_00201
A0A376A9U2,KIR2DS4
A0A384DVL6,NCOR2
A0A384MDW7,ECHS1
A0A384NPM7,SCCPDH
A0A384NYB9,SPINLW1
A0A384P5H2,GIPC2
A0A385FS25,RB1
A0A385HW21,HBA2
A0A385JFK4,MICA
A0A386AVV0,APC
A0A386IN33,BRCA1
A0A386INE3,BRCA2
A0A386ING3,BRCA2
A0A386IP96,BRCA2
A0A386IPV3,BRCA2
A0A386IPX7,BRCA2
A0A386IPX8,BRCA2
A0A386IPY5,BRCA1
A0A386IQ46,BRCA2
A0A386IQ50,BRCA2
A0A386IQC5,RHD
A0A386L1T8,BRCA1
A0A386NC04,PALB2
A0A386NDA4,PALB2
A0A386QWJ7,RHD
A0A386RV79,HLA-DPB1
A0A386RVG0,HLA-DQB1
A0A387L8C4,HLA-B
A0A387LAM3,LEPR
A0A387LBM8,LEPR
A0A387LBZ8,LEPR
A0A3B0J0F2,ADID
A0A3B0PDB1,HLA-A
A0A3B1DJF4,RHCE
A0A3B1EVN7,DQB2
A0A3B3IRJ4,DYNAP
A0A3B3IRK3,NDFIP2
A0A3B3IRL4,KCNT2
A0A3B3IRL6,CCBE1
A0A3B3IRL7,FOXP1
A0A3B3IRP4,EIF2B5
A0A3B3IRP5,CDC73
A0A3B3IRP6,HERC2
A0A3B3IRR4,MYT1L
A0A3B3IRR5,ADA2
A0A3B3IRR9,SORBS1
A0A3B3IRS1,SLC25A48
A0A3B3IRS4,MED13L
A0A3B3IRT3,TBC1D4
A0A3B3IRU2,SNU13
A0A3B3IRV0,CDC42
A0A3B3IRV5,HEBP1
A0A3B3IRV8,ABCA4
A0A3B3IRW1,TFPI2
A0A3B3IRW2,MOGS
A0A3B3IRW6,QSER1
A0A3B3IRX6,SGK2
A0A3B3IRX8,CAPN5
A0A3B3IRY0,CLCN6
A0A3B3IRZ0,HDAC8
A0A3B3IS03,TJP2
A0A3B3IS04,COL4A2
A0A3B3IS09,AGK
A0A3B3IS23,COPA
A0A3B3IS28,CFHR2
A0A3B3IS32,MALT1
A0A3B3IS35,KCTD13
A0A3B3IS36,MED13L
A0A3B3IS45,KCTD13
A0A3B3IS47,COL4A2
A0A3B3IS59,ITPR1
A0A3B3IS64,WDR27
A0A3B3IS78,ABCB11
A0A3B3IS81,AP5Z1
A0A3B3IS88,MCM4
A0A3B3IS96,C1orf43
A0A3B3ISA9,ZNF852
A0A3B3ISB7,L3MBTL1
A0A3B3ISC3,SERPINB6
A0A3B3ISD2,CDC16
A0A3B3ISD9,TNFRSF25
A0A3B3ISE0,PLEKHG7
A0A3B3ISE1,C9orf153
A0A3B3ISE3,ITPR1
A0A3B3ISE8,SERAC1
A0A3B3ISF0,LARP1B
A0A3B3ISF1,TJP2
A0A3B3ISG4,DVL3
A0A3B3ISG9,MYT1L
A0A3B3ISH0,HTR5A
A0A3B3ISH1,SNU13
A0A3B3ISH4,PPP1R12A
A0A3B3ISH6,NOP9
A0A3B3ISH9,SNU13
A0A3B3ISI7,COL17A1
A0A3B3ISI9,TRPV1
A0A3B3ISJ0,AP5Z1
A0A3B3ISJ7,ZDBF2
A0A3B3ISJ8,CLIP1
A0A3B3ISK0,INPP5F
A0A3B3ISK2,KDM5B
A0A3B3ISK9,ACSF3
A0A3B3ISL8,RPS6KA5
A0A3B3ISN7,ENPP1
A0A3B3ISN9,WDR27
A0A3B3ISP4,SOCS5
A0A3B3ISQ5,DLG4
A0A3B3ISR1,FRMD4A
A0A3B3ISR3,HTT
A0A3B3ISR4,ITPR1
A0A3B3ISR6,C1orf185
A0A3B3ISS2,PDZRN4
A0A3B3ISS3,SLC25A36
A0A3B3IST7,ENPP1
A0A3B3ISU9,MYT1L
A0A3B3ISV1,EIF2B5
A0A3B3ISW0,CLSTN3
A0A3B3ISZ4,PCGF6
A0A3B3IT06,ENTPD3
A0A3B3IT12,DRC1
A0A3B3IT26,FOXP1
A0A3B3IT29,LARP1B
A0A3B3IT36,DYNC2H1
A0A3B3IT49,MSL3
A0A3B3IT54,C8orf33
A0A3B3IT55,KANSL1
A0A3B3IT56,SORBS1
A0A3B3IT59,MSL3
A0A3B3IT61,CSRP3
A0A3B3IT67,SLC18B1
A0A3B3IT71,BMPER
A0A3B3IT89,DARS2
A0A3B3IT99,CYP2J2
A0A3B3ITA3,C8orf33
A0A3B3ITA9,KDM5B
A0A3B3ITB4,RIT2
A0A3B3ITB8,CTPS1
A0A3B3ITC3,KAT6B
A0A3B3ITC6,DVL3
A0A3B3ITD8,NUP98
A0A3B3ITE1,TJP2
A0A3B3ITG3,DAB2IP
A0A3B3ITG5,L3MBTL1
A0A3B3ITG6,EIF2B5
A0A3B3ITH6,ZIM2
A0A3B3ITI9,DLG4
A0A3B3ITJ3,KDM5B
A0A3B3ITJ4,HNRNPL
A0A3B3ITK2,TRIT1
A0A3B3ITM0,GNAI1
A0A3B3ITM2,COL17A1
A0A3B3ITN9,FANCC
A0A3B3ITP4,MMAA
A0A3B3ITP5,COL17A1
A0A3B3ITQ8,COL4A2
A0A3B3ITR1,KDM5B
A0A3B3ITS2,PPFIA1
A0A3B3ITU1,EFL1
A0A3B3ITU2,ZNF676
A0A3B3ITU4,C1R
A0A3B3ITV9,ABCB11
A0A3B3ITW0,CFTR
A0A3B3ITW2,HSD17B3
A0A3B3ITW9,ADAM17
A0A3B3ITX1,BMPER
A0A3B3ITX7,AGK
A0A3B3ITY9,ZNF600
A0A3B3ITZ4,FOXP1
A0A3B3ITZ5,ZDBF2
A0A3B3ITZ7,PROS1
A0A3B3IU03,FAM167A
A0A3B3IU13,ITPR1
A0A3B3IU16,BET1
A0A3B3IU53,MSL3
A0A3B3IU60,ITM2B
A0A3B3IU71,KAT6B
A0A3B3IU75,UROS
A0A3B3IU90,WBP1L
A0A3B3IU96,SLC25A24
A0A3B3IU97,SLC35D2
A0A3B3IUC2,COL17A1
A0A3B3IUD1,HDAC8
A0A3F2YNW3,C2orf15
A0A3G1CIL2,BRCA1
A0A3G1GK56,HLA-B
A0A3G1KLT7,CFTR
A0A3G1LBG1,SOS1
A0A3G1VCY8,ESR1
A0A3G2KQ93,PHB2
A0A3G2LMJ8,CD59
A0A3G2M2G2,KEL
A0A3G3C199,HLA-DRB3
A0A3G3C1L8,HLA-B
A0A3G4IRP9,HLA-DQB1
A0A3G4ISB2,HLA-A
A0A3G5AJ89,TG
A0A3G5BD28,HLA-DPB1
A0A3G6INB2,HLA-C
A0A3G6V3S4,HLA-C
A0A3G6VDW8,POLG
A0A3G6VDX4,POLG
A0A3G6VDY0,POLG
A0A3G6ZHQ1,DQB1
A0A3G8GDZ7,ABO
A0A3G9H9M4,HLA-A
A0A3G9HRF1,HLA-A
A0A3P3ZK47,HLA-B
A0A3Q8AM22,PRMT1
A0A3Q8APX7,PRMT1
A0A3Q8B4M4,PRMT1
A0A3Q9V906,HLA-DPB1
A0A3Q9VBZ2,HLA-DRB3
A0A3Q9VU76,HLA-DPB1
A0A3Q9WY52,HLA-C
A0A3Q9X1U1,HLA-B
A0A3S5X9I6,DDC
A0A3S6CYT1,RNASEK
A0A3S6H767,PRMT1
A0A3S6H960,PRMT1
A0A3S6RFI2,HLA-A
A0A3S6RFK1,HLA-A
A0A3S6RFM5,HLA-B
A0A3S6RG05,HLA-C
A0A3S6RG69,HLA-C
A0A3S6RGC4,HLA-DRB1
A0A3S6RGC5,HLA-DRB1
A0A3S6RGD6,HLA-DRB1
A0A3S6RGF0,HLA-DRB1
A0A3S6RGF9,HLA-DRB1
A0A3S6RGG2,HLA-DRB1
A0A3S6RGH2,HLA-DRB1
A0A3S6RGH4,HLA-DRB1
A0A3S6RGH7,HLA-DRB1
A0A3S6RGJ5,HLA-DRB1
A0A3S6RGJ7,HLA-DRB1
A0A3S6RGJ9,HLA-DRB1
