mut.cls1	dn.cls1	trans.cls1	ntrans.cls1	case.cls1	ctrl.cls1	mut.cls2	dn.cls2	trans.cls2	ntrans.cls2	case.cls2	ctrl.cls2
1.41825e-06	1.0	7.0	0.0	4.0	0.0	4.87355758714e-06	0.0	6.0	0.0	1.0	0.0
2.4735e-06	0.0	2.0	0.0	4.0	0.0	1.81788904194e-05	4.0	2.0	0.0	0.0	0.0
1.73775e-06	0.0	2.0	0.0	0.0	0.0	3.49519642822e-05	7.0	2.0	0.0	0.0	1.0
7.17e-07	0.0	4.0	2.0	1.0	0.0	8.85805232958e-06	1.0	1.0	0.0	2.0	1.0
1.79025e-06	0.0	4.0	0.0	1.0	1.0	2.09935086255e-05	4.0	3.0	1.0	1.0	0.0
3.105e-06	1.0	8.0	0.0	1.0	0.0	1.09092720183e-05	6.0	3.0	0.0	1.0	0.0
1.11975e-06	0.0	6.0	0.0	0.0	0.0	2.14593092585e-05	5.0	4.0	1.0	1.0	0.0
1.0905e-06	0.0	1.0	0.0	1.0	1.0	5.93504095581e-06	2.0	3.0	0.0	1.0	0.0
1.572e-06	0.0	2.0	0.0	1.0	0.0	2.32334909157e-05	3.0	1.0	0.0	0.0	0.0
1.5315e-06	0.0	0.0	0.0	1.0	0.0	1.27325700273e-06	0.0	4.0	0.0	0.0	0.0
3.5775e-06	0.0	3.0	0.0	1.0	0.0	1.70947172274e-05	4.0	2.0	0.0	0.0	0.0
1.58925e-06	1.0	4.0	0.0	0.0	0.0	3.60434150696e-07	0.0	3.0	0.0	0.0	0.0
1.839e-06	1.0	3.0	0.0	0.0	0.0	1.71934874871e-05	0.0	3.0	0.0	0.0	0.0
4.3125e-07	0.0	2.0	1.0	1.0	0.0	9.03741795905e-06	1.0	7.0	0.0	0.0	0.0
1.581e-06	0.0	1.0	0.0	0.0	0.0	3.57826399631e-05	2.0	3.0	0.0	0.0	0.0
2.283e-06	1.0	4.0	0.0	1.0	0.0	1.6397862978e-05	1.0	5.0	0.0	0.0	1.0
1.914e-06	0.0	4.0	0.0	0.0	0.0	1.40996622342e-05	0.0	3.0	1.0	0.0	0.0
5.8125e-07	0.0	6.0	0.0	2.0	1.0	3.52342316499e-06	1.0	3.0	1.0	1.0	0.0
1.059e-06	0.0	3.0	0.0	2.0	1.0	1.53552954158e-05	0.0	6.0	0.0	0.0	0.0
1.665e-06	0.0	3.0	0.0	3.0	0.0	1.48006755766e-05	5.0	1.0	0.0	0.0	0.0
3.3675e-06	0.0	1.0	0.0	0.0	0.0	2.82811426501e-05	6.0	0.0	0.0	2.0	1.0
7.2525e-07	0.0	3.0	0.0	1.0	0.0	1.79005423863e-05	1.0	2.0	0.0	1.0	0.0
8.3175e-07	1.0	2.0	0.0	0.0	0.0	2.6253919933e-05	8.0	3.0	0.0	0.0	0.0
8.61e-07	0.0	5.0	0.0	0.0	0.0	1.35042176906e-05	1.0	4.0	0.0	0.0	0.0
3.0525e-06	1.0	3.0	0.0	0.0	1.0	1.77343518681e-05	0.0	5.0	0.0	1.0	0.0
8.6325e-07	1.0	3.0	0.0	1.0	1.0	1.41104054532e-05	1.0	1.0	0.0	1.0	0.0
3.8025e-06	0.0	5.0	0.0	0.0	0.0	2.62584768151e-05	3.0	4.0	0.0	0.0	0.0
4.845e-06	1.0	4.0	1.0	1.0	0.0	1.97133419826e-05	3.0	1.0	1.0	1.0	0.0
2.49e-06	0.0	4.0	0.0	0.0	0.0	6.30391855911e-06	1.0	4.0	0.0	1.0	1.0
9.7875e-07	0.0	4.0	0.0	1.0	0.0	2.45585407154e-05	2.0	2.0	0.0	1.0	0.0
4.4325e-06	1.0	7.0	0.0	0.0	0.0	5.49476416355e-06	1.0	5.0	0.0	1.0	0.0
2.1555e-06	1.0	2.0	0.0	1.0	0.0	1.23442450612e-05	4.0	4.0	0.0	0.0	0.0
2.73e-06	0.0	4.0	0.0	2.0	0.0	4.14253296884e-05	6.0	1.0	0.0	1.0	0.0
1.2e-06	1.0	3.0	1.0	1.0	0.0	1.38374078345e-05	4.0	4.0	1.0	0.0	0.0
1.011e-06	0.0	2.0	0.0	0.0	0.0	1.87027188081e-05	1.0	5.0	0.0	3.0	0.0
1.632e-06	0.0	5.0	1.0	0.0	0.0	6.54598740431e-06	1.0	5.0	0.0	0.0	0.0
1.43325e-06	0.0	3.0	0.0	0.0	0.0	9.38565524074e-06	1.0	3.0	0.0	1.0	0.0
1.69425e-07	0.0	3.0	0.0	2.0	0.0	3.67285034291e-06	0.0	3.0	0.0	1.0	1.0
2.09775e-06	0.0	1.0	0.0	1.0	0.0	3.59421351953e-05	3.0	4.0	0.0	1.0	0.0
1.28475e-06	0.0	1.0	0.0	2.0	0.0	1.69597602767e-05	4.0	2.0	0.0	2.0	0.0
1.647e-06	1.0	3.0	0.0	0.0	0.0	1.50263168516e-05	3.0	2.0	0.0	0.0	0.0
9.75e-07	0.0	4.0	0.0	0.0	0.0	2.18828988414e-05	5.0	3.0	0.0	0.0	0.0
5.4825e-07	0.0	1.0	0.0	1.0	0.0	1.20699803245e-05	2.0	3.0	0.0	4.0	0.0
2.7075e-06	0.0	5.0	0.0	1.0	0.0	5.1533298794e-05	4.0	4.0	0.0	1.0	0.0
1.116e-06	0.0	5.0	0.0	1.0	0.0	1.79212253028e-05	2.0	8.0	0.0	2.0	0.0
9.525e-07	0.0	2.0	0.0	0.0	0.0	2.73204453385e-06	0.0	2.0	0.0	1.0	0.0
4.59e-06	1.0	3.0	0.0	0.0	0.0	5.61521248145e-06	1.0	3.0	0.0	1.0	1.0
1.52325e-06	0.0	3.0	0.0	0.0	0.0	1.33038282055e-05	1.0	4.0	0.0	2.0	0.0
1.10025e-06	0.0	4.0	0.0	0.0	0.0	1.83056817018e-05	4.0	4.0	1.0	0.0	0.0
1.125e-06	0.0	2.0	0.0	2.0	0.0	1.79958204631e-05	3.0	4.0	0.0	3.0	0.0
7.5825e-06	0.0	3.0	0.0	3.0	0.0	1.32176969986e-05	2.0	6.0	0.0	2.0	0.0
2.0595e-06	0.0	0.0	0.0	1.0	0.0	1.87602289991e-05	5.0	5.0	0.0	2.0	0.0
4.0725e-06	0.0	5.0	0.0	0.0	0.0	5.31225301604e-06	2.0	4.0	0.0	1.0	0.0
1.686e-06	1.0	5.0	0.0	1.0	1.0	9.06152312962e-06	0.0	5.0	0.0	0.0	0.0
3.885e-07	0.0	2.0	0.0	0.0	0.0	1.60240736588e-05	4.0	2.0	0.0	0.0	1.0
1.07625e-05	3.0	3.0	1.0	0.0	0.0	1.85375539775e-05	5.0	3.0	0.0	0.0	0.0
9.3525e-07	0.0	7.0	0.0	0.0	1.0	1.5793706741e-05	0.0	2.0	0.0	0.0	0.0
6.03e-07	0.0	4.0	0.0	0.0	0.0	2.07054218737e-05	2.0	4.0	0.0	1.0	0.0
7.2e-07	0.0	0.0	0.0	0.0	0.0	5.98883456106e-06	2.0	7.0	0.0	1.0	0.0
1.87725e-06	0.0	4.0	1.0	0.0	0.0	7.67434674826e-06	1.0	0.0	0.0	0.0	0.0
1.43775e-06	0.0	3.0	0.0	1.0	0.0	1.2600785731e-05	1.0	3.0	0.0	0.0	0.0
2.5275e-06	0.0	5.0	0.0	1.0	0.0	7.6800818004e-06	2.0	3.0	1.0	1.0	0.0
9.165e-07	0.0	6.0	0.0	1.0	0.0	4.31155877366e-06	0.0	2.0	0.0	1.0	0.0
2.895e-07	0.0	3.0	0.0	0.0	0.0	9.74617767621e-06	3.0	1.0	0.0	0.0	0.0
3.0975e-06	0.0	2.0	1.0	0.0	0.0	1.03761576081e-05	4.0	8.0	0.0	1.0	0.0
3.1575e-06	0.0	6.0	0.0	1.0	0.0	1.1994676955e-05	1.0	2.0	0.0	0.0	0.0
9.795e-07	0.0	1.0	0.0	0.0	0.0	3.07632075932e-06	1.0	6.0	0.0	2.0	0.0
2.37375e-06	0.0	1.0	0.0	4.0	0.0	2.81980728976e-06	0.0	5.0	1.0	1.0	1.0
1.0995e-06	0.0	6.0	0.0	2.0	0.0	1.37877284096e-05	8.0	0.0	0.0	1.0	0.0
1.587e-06	1.0	1.0	0.0	0.0	0.0	3.39911630123e-05	4.0	5.0	0.0	1.0	0.0
5.0025e-07	0.0	4.0	0.0	2.0	0.0	9.54372894443e-06	0.0	3.0	0.0	0.0	0.0
1.002e-06	0.0	2.0	0.0	0.0	0.0	1.49618824621e-05	3.0	2.0	0.0	0.0	1.0
1.554e-06	1.0	4.0	0.0	0.0	0.0	1.59620727886e-05	2.0	5.0	0.0	0.0	0.0
5.0925e-07	0.0	2.0	0.0	0.0	1.0	5.49080773102e-06	3.0	7.0	0.0	0.0	0.0
3.735e-06	2.0	6.0	0.0	0.0	0.0	8.39126864823e-06	1.0	4.0	0.0	1.0	0.0
1.7925e-06	0.0	5.0	1.0	1.0	1.0	3.63335927347e-05	5.0	4.0	0.0	2.0	0.0
7.965e-07	0.0	0.0	1.0	0.0	0.0	1.50723764641e-07	0.0	3.0	0.0	0.0	0.0
7.4925e-06	2.0	3.0	1.0	1.0	0.0	4.18465737655e-05	2.0	2.0	0.0	1.0	0.0
5.52e-07	0.0	5.0	0.0	0.0	1.0	2.70957588135e-07	0.0	2.0	1.0	1.0	1.0
3.0975e-06	0.0	2.0	0.0	0.0	0.0	1.77743004196e-05	4.0	3.0	0.0	0.0	0.0
5.205e-07	0.0	2.0	0.0	1.0	0.0	1.66116145127e-05	3.0	3.0	0.0	1.0	0.0
3.51e-06	1.0	2.0	0.0	1.0	0.0	1.19686911796e-05	1.0	2.0	0.0	3.0	0.0
1.75125e-06	1.0	1.0	0.0	1.0	0.0	4.43850158539e-06	2.0	1.0	0.0	0.0	0.0
2.17875e-06	0.0	3.0	0.0	0.0	0.0	3.18920750776e-06	0.0	4.0	0.0	2.0	0.0
1.37025e-06	1.0	8.0	0.0	3.0	0.0	8.86026498705e-06	1.0	1.0	0.0	0.0	0.0
6.6375e-06	1.0	3.0	1.0	0.0	0.0	2.17658477019e-05	3.0	6.0	0.0	1.0	0.0
1.18575e-06	1.0	4.0	1.0	0.0	1.0	1.21867758168e-06	1.0	5.0	0.0	0.0	0.0
1.389e-06	0.0	2.0	1.0	1.0	0.0	3.61327330486e-06	1.0	1.0	0.0	0.0	0.0
3.765e-06	0.0	5.0	1.0	1.0	0.0	3.22366128351e-05	7.0	4.0	0.0	1.0	0.0
1.044e-06	0.0	4.0	0.0	0.0	0.0	6.93392507647e-06	2.0	3.0	1.0	1.0	0.0
1.00125e-06	0.0	4.0	0.0	0.0	0.0	6.14331768886e-05	4.0	5.0	1.0	0.0	0.0
1.005e-06	0.0	3.0	0.0	1.0	0.0	1.9291632913e-05	2.0	5.0	0.0	1.0	0.0
9.63e-07	0.0	2.0	1.0	1.0	0.0	1.14296427778e-05	0.0	1.0	0.0	0.0	0.0
4.725e-07	0.0	8.0	0.0	3.0	0.0	5.12368574851e-05	7.0	6.0	1.0	1.0	0.0
1.92525e-06	0.0	2.0	0.0	2.0	1.0	4.04844912698e-06	2.0	5.0	0.0	1.0	0.0
1.88025e-06	0.0	1.0	0.0	1.0	0.0	1.91024101431e-05	4.0	2.0	1.0	0.0	0.0
4.0275e-06	1.0	2.0	0.0	1.0	1.0	2.70851365258e-05	6.0	3.0	0.0	2.0	0.0
1.659e-06	0.0	7.0	0.0	1.0	0.0	1.66465889566e-05	2.0	4.0	0.0	1.0	0.0
1.00125e-06	0.0	3.0	1.0	1.0	0.0	1.43532298149e-05	0.0	3.0	0.0	2.0	0.0
1.55475e-06	0.0	3.0	0.0	0.0	0.0	1.55300803608e-05	2.0	2.0	0.0	1.0	0.0
1.65675e-06	0.0	1.0	0.0	0.0	0.0	1.32822671913e-05	1.0	4.0	0.0	0.0	0.0
1.07625e-06	1.0	1.0	0.0	1.0	0.0	1.65066368161e-05	4.0	3.0	1.0	0.0	0.0
4.875e-06	0.0	5.0	0.0	1.0	0.0	2.35308879314e-05	2.0	3.0	1.0	0.0	0.0
1.38675e-06	0.0	5.0	0.0	2.0	1.0	9.72435847719e-06	0.0	2.0	0.0	1.0	0.0
1.08825e-06	0.0	2.0	0.0	0.0	2.0	9.97803233645e-06	1.0	6.0	0.0	0.0	0.0
2.7825e-06	0.0	3.0	1.0	0.0	0.0	1.85064071063e-05	0.0	2.0	0.0	4.0	0.0
7.05e-07	0.0	2.0	0.0	0.0	0.0	1.02938529521e-05	1.0	0.0	0.0	0.0	2.0
8.835e-07	0.0	2.0	0.0	0.0	0.0	5.24278845959e-05	5.0	4.0	0.0	2.0	0.0
7.425e-07	0.0	2.0	0.0	1.0	0.0	1.20353609541e-05	0.0	1.0	0.0	0.0	0.0
1.6275e-06	0.0	4.0	0.0	2.0	1.0	6.79393273367e-06	0.0	6.0	0.0	1.0	0.0
7.4925e-07	0.0	5.0	0.0	0.0	1.0	2.91052242706e-05	9.0	3.0	0.0	1.0	0.0
2.4555e-06	0.0	5.0	0.0	0.0	0.0	7.07833094648e-06	0.0	6.0	0.0	0.0	0.0
1.45275e-06	0.0	2.0	0.0	3.0	0.0	9.14343369093e-06	0.0	4.0	0.0	0.0	0.0
1.04625e-06	0.0	6.0	0.0	1.0	0.0	1.19391761597e-05	1.0	2.0	0.0	0.0	0.0
1.36425e-06	0.0	3.0	2.0	1.0	1.0	1.12402036684e-05	0.0	2.0	0.0	0.0	0.0
1.05075e-06	0.0	2.0	0.0	1.0	0.0	3.19807610825e-05	4.0	3.0	0.0	0.0	0.0
1.662e-06	0.0	4.0	0.0	1.0	1.0	3.90549897025e-06	0.0	4.0	1.0	0.0	1.0
4.26e-06	0.0	7.0	0.0	0.0	0.0	3.33273212104e-05	4.0	3.0	1.0	0.0	0.0
4.3725e-06	1.0	1.0	0.0	0.0	1.0	9.93376085249e-06	1.0	3.0	0.0	0.0	0.0
8.925e-07	1.0	1.0	0.0	0.0	0.0	1.50083859431e-05	0.0	4.0	1.0	1.0	0.0
7.0275e-07	0.0	5.0	0.0	1.0	0.0	1.09416750176e-05	4.0	2.0	1.0	1.0	0.0
2.1915e-06	0.0	5.0	0.0	1.0	0.0	1.49499590935e-05	2.0	5.0	1.0	2.0	2.0
1.4655e-06	0.0	4.0	1.0	2.0	1.0	1.59453076105e-05	7.0	3.0	0.0	0.0	0.0
8.145e-07	0.0	5.0	0.0	2.0	0.0	1.04490809464e-05	1.0	1.0	0.0	3.0	1.0
1.84275e-06	0.0	4.0	0.0	1.0	0.0	3.28317267711e-05	6.0	4.0	0.0	0.0	0.0
8.8725e-07	0.0	3.0	1.0	0.0	0.0	4.76439610758e-07	1.0	7.0	1.0	0.0	1.0
1.5225e-06	0.0	4.0	0.0	1.0	0.0	2.41656805308e-05	4.0	4.0	0.0	2.0	0.0
1.4475e-06	0.0	2.0	0.0	0.0	1.0	9.52801710622e-06	0.0	2.0	2.0	1.0	0.0
2.22825e-07	0.0	3.0	0.0	0.0	0.0	1.11806377261e-05	1.0	4.0	0.0	0.0	0.0
4.4925e-07	0.0	2.0	0.0	0.0	0.0	6.71778924853e-06	1.0	3.0	0.0	0.0	1.0
1.65975e-06	0.0	3.0	0.0	3.0	0.0	1.64792796937e-05	0.0	5.0	0.0	1.0	0.0
1.6185e-06	1.0	3.0	0.0	0.0	0.0	7.54275805314e-06	0.0	4.0	1.0	1.0	0.0
1.4895e-06	0.0	4.0	0.0	0.0	0.0	1.00693374965e-05	0.0	0.0	0.0	2.0	0.0
1.70325e-06	0.0	0.0	0.0	1.0	0.0	2.74203009765e-06	1.0	2.0	0.0	0.0	0.0
3.0225e-06	1.0	1.0	1.0	0.0	0.0	1.1138509555e-05	2.0	3.0	0.0	0.0	0.0
1.536e-06	0.0	1.0	1.0	0.0	2.0	9.38309960177e-06	2.0	4.0	0.0	0.0	0.0
8.145e-07	0.0	3.0	0.0	2.0	0.0	0.000121710611309	10.0	2.0	1.0	1.0	0.0
6.435e-06	3.0	3.0	0.0	2.0	1.0	5.13711596927e-06	1.0	4.0	0.0	0.0	0.0
1.76325e-06	0.0	6.0	1.0	0.0	0.0	5.12266835702e-06	1.0	3.0	1.0	3.0	0.0
2.865e-06	0.0	4.0	0.0	3.0	0.0	1.88764927203e-05	3.0	2.0	0.0	0.0	0.0
8.2425e-07	0.0	2.0	1.0	0.0	0.0	3.3490164077e-05	7.0	2.0	1.0	0.0	0.0
1.9575e-06	0.0	5.0	0.0	0.0	0.0	3.28829873022e-05	6.0	1.0	0.0	0.0	0.0
2.0235e-06	0.0	5.0	0.0	1.0	0.0	3.01803712797e-05	2.0	3.0	1.0	0.0	0.0
1.39275e-06	1.0	7.0	0.0	0.0	0.0	2.14073027453e-05	6.0	5.0	1.0	1.0	1.0
1.19175e-06	0.0	2.0	0.0	2.0	0.0	1.74194257858e-05	4.0	2.0	0.0	0.0	1.0
1.74075e-06	0.0	5.0	0.0	0.0	0.0	1.91486002704e-05	2.0	4.0	0.0	1.0	0.0
8.61e-07	1.0	3.0	0.0	0.0	0.0	3.42986056129e-06	0.0	4.0	0.0	1.0	0.0
1.3665e-06	1.0	5.0	0.0	1.0	0.0	2.59749444706e-06	0.0	5.0	0.0	2.0	0.0
1.2225e-06	0.0	1.0	0.0	1.0	0.0	4.76297874432e-06	1.0	3.0	0.0	0.0	0.0
1.98075e-06	1.0	5.0	0.0	0.0	0.0	6.00697856043e-06	1.0	3.0	0.0	1.0	0.0
1.4025e-06	0.0	4.0	0.0	3.0	0.0	6.48747164521e-06	0.0	4.0	0.0	2.0	0.0
2.45775e-06	0.0	2.0	0.0	1.0	0.0	1.73764289192e-05	1.0	5.0	0.0	0.0	0.0
6.42e-07	0.0	3.0	0.0	2.0	0.0	1.07962619799e-05	4.0	3.0	0.0	0.0	0.0
2.01675e-06	1.0	5.0	1.0	1.0	0.0	6.74202656524e-06	3.0	3.0	1.0	2.0	0.0
1.65225e-06	0.0	1.0	0.0	1.0	0.0	1.2582060394e-05	2.0	4.0	0.0	0.0	1.0
1.0005e-06	0.0	1.0	0.0	0.0	0.0	1.07105575767e-05	2.0	3.0	0.0	1.0	0.0
1.7235e-06	1.0	5.0	1.0	0.0	0.0	8.76196276336e-06	3.0	3.0	0.0	0.0	0.0
1.34325e-06	0.0	5.0	0.0	1.0	0.0	1.22309802294e-05	1.0	3.0	1.0	0.0	0.0
2.00175e-06	0.0	3.0	0.0	0.0	0.0	1.68979601967e-06	0.0	3.0	0.0	2.0	0.0
3.9675e-07	1.0	1.0	2.0	1.0	0.0	4.00158373143e-06	0.0	4.0	0.0	0.0	0.0
5.205e-06	0.0	1.0	0.0	1.0	0.0	8.80138993532e-06	2.0	6.0	0.0	2.0	0.0
3.165e-06	0.0	2.0	0.0	0.0	0.0	4.38765076548e-05	9.0	5.0	1.0	1.0	0.0
1.4385e-06	0.0	3.0	1.0	1.0	0.0	1.17239986136e-05	3.0	3.0	0.0	1.0	0.0
1.92825e-06	2.0	4.0	1.0	0.0	0.0	2.69546024462e-05	4.0	3.0	0.0	0.0	1.0
1.18575e-06	1.0	2.0	0.0	0.0	0.0	1.03930491208e-05	1.0	5.0	1.0	0.0	0.0
6.69e-07	0.0	4.0	0.0	2.0	0.0	2.06869330542e-05	3.0	2.0	0.0	0.0	1.0
1.2513375e-05	1.0	5.0	0.0	2.0	0.0	2.64488096895e-05	3.0	1.0	0.0	1.0	0.0
2.73e-06	0.0	0.0	0.0	2.0	0.0	1.4734904836e-05	1.0	5.0	0.0	1.0	0.0
2.538e-06	0.0	3.0	0.0	1.0	0.0	1.66109367733e-05	2.0	2.0	1.0	0.0	0.0
1.64475e-06	0.0	1.0	0.0	0.0	0.0	6.52613335608e-06	0.0	1.0	0.0	1.0	0.0
1.32225e-06	0.0	3.0	0.0	2.0	1.0	1.20970340133e-05	2.0	4.0	1.0	1.0	0.0
1.11225e-06	0.0	4.0	0.0	2.0	0.0	1.16195069115e-05	1.0	2.0	0.0	0.0	0.0
1.02525e-06	0.0	1.0	0.0	1.0	0.0	7.79323464607e-06	0.0	3.0	0.0	1.0	0.0
1.14375e-06	0.0	4.0	0.0	0.0	0.0	1.25479254203e-05	3.0	4.0	0.0	0.0	0.0
5.925e-07	1.0	2.0	0.0	0.0	0.0	1.99795735144e-05	2.0	4.0	0.0	1.0	0.0
4.8525e-07	0.0	3.0	0.0	0.0	0.0	7.87443950143e-06	2.0	3.0	1.0	0.0	0.0
1.43025e-06	0.0	3.0	0.0	2.0	0.0	1.21541788104e-05	1.0	2.0	1.0	1.0	0.0
9.2775e-07	0.0	4.0	0.0	0.0	0.0	5.22944863458e-06	0.0	2.0	0.0	1.0	0.0
1.43625e-06	0.0	2.0	0.0	0.0	0.0	1.219250915e-05	2.0	5.0	0.0	1.0	0.0
4.71e-06	0.0	2.0	0.0	0.0	0.0	2.7711157791e-05	1.0	2.0	0.0	1.0	1.0
1.629e-06	2.0	5.0	1.0	0.0	0.0	1.91128863091e-05	2.0	7.0	1.0	2.0	0.0
1.23675e-06	0.0	3.0	0.0	0.0	1.0	3.25127401341e-06	0.0	1.0	0.0	1.0	0.0
1.6545e-06	0.0	6.0	1.0	0.0	0.0	8.58769554477e-06	0.0	1.0	0.0	1.0	0.0
5.7375e-07	0.0	1.0	0.0	0.0	0.0	8.80108564184e-06	2.0	3.0	0.0	1.0	1.0
1.143e-06	0.0	3.0	0.0	1.0	0.0	6.18067075009e-06	1.0	2.0	0.0	1.0	0.0
1.64625e-06	0.0	2.0	0.0	1.0	0.0	1.26970331165e-05	2.0	1.0	0.0	2.0	0.0
1.2e-06	0.0	6.0	1.0	1.0	0.0	4.04800741691e-06	0.0	2.0	0.0	1.0	0.0
3.27e-06	0.0	8.0	0.0	0.0	0.0	5.46976796026e-06	0.0	2.0	0.0	0.0	0.0
1.24425e-06	0.0	3.0	2.0	0.0	0.0	6.18698393502e-06	0.0	1.0	1.0	1.0	0.0
4.0725e-06	0.0	1.0	1.0	0.0	0.0	2.45714333968e-06	0.0	4.0	0.0	1.0	0.0
2.445e-06	0.0	3.0	0.0	3.0	0.0	1.63239843208e-05	2.0	7.0	0.0	1.0	1.0
1.63425e-06	1.0	2.0	0.0	0.0	0.0	5.32863308746e-05	11.0	6.0	0.0	0.0	0.0
1.17525e-06	0.0	7.0	0.0	1.0	0.0	2.87460989137e-05	6.0	4.0	0.0	1.0	0.0
1.74375e-06	0.0	4.0	1.0	4.0	1.0	1.11166859053e-05	2.0	5.0	0.0	0.0	0.0
8.5875e-07	0.0	2.0	0.0	0.0	0.0	0.000148434884129	18.0	7.0	0.0	1.0	0.0
4.8825e-07	0.0	4.0	1.0	1.0	0.0	8.41245557689e-06	2.0	8.0	0.0	0.0	0.0
2.5725e-06	0.0	2.0	0.0	0.0	0.0	2.36295075717e-05	2.0	2.0	0.0	1.0	0.0
6.255e-06	1.0	4.0	0.0	0.0	0.0	1.38146304941e-05	1.0	8.0	1.0	0.0	0.0
3.66e-06	0.0	2.0	0.0	0.0	0.0	7.94581474052e-06	0.0	1.0	0.0	3.0	0.0
8.9625e-07	0.0	6.0	0.0	0.0	1.0	2.84525553203e-05	3.0	5.0	1.0	1.0	0.0
1.78725e-06	0.0	7.0	0.0	0.0	0.0	1.48934267847e-05	4.0	3.0	0.0	0.0	0.0
2.4075e-06	0.0	5.0	0.0	0.0	1.0	1.23187942649e-05	0.0	3.0	0.0	1.0	0.0
7.2525e-07	0.0	3.0	0.0	1.0	0.0	2.1728440829e-05	3.0	3.0	1.0	0.0	0.0
8.79e-07	0.0	4.0	0.0	0.0	1.0	1.58197465621e-05	2.0	7.0	0.0	2.0	0.0
5.7e-07	0.0	6.0	1.0	2.0	0.0	1.62563826445e-05	3.0	4.0	0.0	1.0	0.0
1.0665e-06	0.0	5.0	0.0	0.0	0.0	3.51985920957e-05	6.0	2.0	0.0	0.0	0.0
4.38e-06	1.0	1.0	0.0	1.0	0.0	1.77535619948e-05	1.0	6.0	0.0	0.0	1.0
2.63025e-07	0.0	1.0	0.0	0.0	0.0	1.75028428692e-05	4.0	4.0	0.0	0.0	0.0
6.9975e-07	0.0	3.0	0.0	0.0	0.0	6.35893915841e-05	8.0	3.0	0.0	0.0	0.0
5.3325e-07	0.0	4.0	1.0	1.0	0.0	4.16924931305e-06	1.0	3.0	0.0	0.0	0.0
1.452e-06	0.0	1.0	0.0	2.0	0.0	1.17394534174e-05	3.0	3.0	1.0	0.0	0.0
2.592e-06	1.0	1.0	1.0	0.0	0.0	1.92191139856e-05	4.0	3.0	0.0	2.0	0.0
1.5405e-06	0.0	5.0	0.0	1.0	0.0	7.56387606253e-06	2.0	1.0	0.0	1.0	0.0
8.025e-07	0.0	5.0	0.0	1.0	0.0	4.50243150132e-05	5.0	6.0	1.0	0.0	0.0
1.506e-06	0.0	4.0	0.0	0.0	0.0	1.84481875845e-05	1.0	5.0	0.0	1.0	1.0
1.65675e-06	0.0	5.0	0.0	2.0	0.0	1.61115279975e-05	2.0	4.0	0.0	1.0	0.0
1.22625e-06	0.0	2.0	0.0	0.0	0.0	1.58325764867e-05	0.0	7.0	0.0	1.0	0.0
6.5025e-06	1.0	2.0	0.0	0.0	1.0	1.31064893053e-05	1.0	3.0	0.0	1.0	0.0
3.78e-07	0.0	1.0	0.0	1.0	0.0	7.31901569343e-06	1.0	8.0	1.0	2.0	0.0
1.4115e-06	0.0	9.0	0.0	0.0	0.0	4.99126993816e-06	0.0	4.0	0.0	0.0	0.0
2.0175e-06	0.0	1.0	1.0	0.0	0.0	1.29833865005e-05	3.0	3.0	0.0	1.0	0.0
2.028e-06	0.0	2.0	0.0	0.0	0.0	1.33123687996e-05	1.0	3.0	0.0	1.0	0.0
